model,r2,mae,mse,rmse,mape
Ridge Regression,0.8302368617417974,3.5195374530821826,22.978650767076086,4.793605195161162,5.3654782919852515
Random Forest Regressor,0.7925354958004249,4.02855045385157,28.081799367515423,5.299226298953029,6.537872429141797
XGBoost Regressor,0.7575978097324386,4.182793611015369,32.8108641986859,5.728076832470554,6.924957789461332
